amount,hour,distance_from_home,merchant_risk,device_trust,international,velocity_24h,account_age_days,is_fraud
45.08,8,12.64,0.14,0.102,0,9,386,0
13.74,17,9.98,0.65,0.545,0,10,1169,0
56.71,4,10.91,0.763,0.102,0,6,1438,0
191.92,17,6.0,0.922,0.079,0,10,1511,1
50.03,7,66.74,0.985,0.855,0,7,1168,0
65.49,11,10.58,0.267,0.937,0,10,2630,0
54.56,12,14.16,0.925,0.688,0,6,259,1
13.51,8,3.08,0.913,0.567,0,4,2714,0
176.02,4,13.85,0.247,0.561,0,10,1784,0
30.33,4,32.06,0.091,0.047,1,3,2817,0
13.08,14,33.89,0.971,0.861,1,2,2822,0
177.85,10,5.32,0.435,0.454,0,5,2080,0
37.06,20,15.95,0.639,0.609,1,3,2239,0
48.53,3,119.09,0.879,0.832,0,1,1016,0
35.8,17,65.33,0.128,0.475,0,5,2191,0
31.75,17,63.34,0.69,0.713,0,6,1824,0
33.31,2,18.57,0.588,0.23,0,2,2929,0
11.54,6,34.87,0.723,0.882,0,4,1967,0
22.2,13,19.68,0.411,0.864,1,2,278,0
6.73,7,9.57,0.536,0.14,0,8,1053,0
59.32,0,156.31,0.926,0.849,0,8,2001,1
31.4,12,0.1,0.39,0.927,0,5,1762,0
172.7,21,57.03,0.155,0.297,0,10,2250,1
27.49,15,31.45,0.853,0.157,0,2,791,1
3.31,18,12.72,0.595,0.619,0,10,2345,0
81.17,22,16.97,0.266,0.131,0,8,1325,0
54.83,3,3.42,0.213,0.265,0,2,1030,0
78.6,20,33.87,0.668,0.555,0,2,580,0
18.18,6,56.9,0.204,0.634,0,8,1058,0
31.37,0,18.26,0.131,0.98,0,8,2289,0
40.45,22,105.42,0.546,0.835,0,3,1790,0
76.43,7,49.47,0.354,0.56,0,10,663,0
23.14,5,95.95,0.025,0.737,0,7,2773,0
67.9,22,5.15,0.872,0.859,0,8,1462,0
63.92,0,48.55,0.398,0.279,1,5,1468,0
87.28,3,94.31,0.261,0.581,0,1,474,0
12.76,13,41.94,0.511,0.385,0,5,211,0
44.69,23,60.11,0.197,0.431,0,6,2582,0
223.82,9,31.84,0.667,0.326,0,9,551,1
53.91,23,104.9,0.616,0.301,0,1,1274,0
28.69,20,17.5,0.442,0.676,0,3,2728,0
38.92,10,4.41,0.952,0.235,0,4,633,1
18.01,2,27.35,0.886,0.576,0,7,2054,1
7.06,3,67.81,0.219,0.804,0,8,235,0
13.48,16,198.63,0.595,0.95,0,10,2976,0
11.62,14,102.38,0.744,0.475,0,4,2641,0
80.29,7,14.45,0.077,0.286,0,6,2242,1
16.03,4,55.15,0.064,0.408,0,7,285,1
10.77,18,131.4,0.02,0.881,0,8,54,0
22.61,13,34.77,0.735,0.8,0,8,928,1
35.37,21,51.15,0.404,0.165,0,3,2578,0
156.65,21,1.24,0.643,0.136,0,1,1095,0
19.6,12,14.67,0.951,0.422,0,8,109,0
23.77,20,1.85,0.031,0.247,0,10,654,1
35.04,6,28.15,0.256,0.369,0,2,700,0
15.65,12,22.74,0.715,0.076,0,4,447,0
14.64,3,71.58,0.566,0.041,0,6,312,1
7.85,15,5.02,0.961,0.636,0,3,1813,0
40.07,19,74.31,0.538,0.483,0,10,1129,1
20.35,14,37.96,0.668,0.336,0,6,774,0
27.51,8,95.53,0.701,0.276,1,4,380,1
26.93,7,52.79,0.646,0.491,0,2,1235,0
54.77,18,20.72,0.553,0.344,0,9,1384,1
33.21,7,5.79,0.193,0.12,0,3,814,0
33.66,16,40.87,0.981,0.833,0,6,764,0
51.8,1,164.75,0.553,0.697,1,8,450,0
44.86,14,18.75,0.965,0.252,0,2,297,0
6.85,1,7.4,0.811,0.949,1,4,515,0
27.04,19,11.51,0.523,0.451,0,10,1786,1
57.52,23,4.7,0.763,0.626,0,2,673,0
40.04,13,26.94,0.594,0.291,0,5,2909,0
16.19,8,69.77,0.625,0.661,0,7,500,0
383.95,4,3.33,0.166,0.308,0,10,1212,1
34.27,12,128.66,0.5,0.494,1,1,1799,0
42.74,7,147.05,0.836,0.575,0,5,2390,1
74.12,20,26.27,0.278,0.997,0,8,403,0
30.06,3,87.75,0.33,0.694,0,7,2283,1
16.39,3,158.07,0.404,0.515,0,9,1922,1
17.92,15,44.19,0.76,0.204,0,5,1824,0
35.77,20,42.24,0.239,0.158,0,9,1701,1
34.34,4,31.05,0.717,0.509,0,8,1964,1
41.32,19,31.94,0.879,0.864,0,7,1422,0
38.97,9,58.27,0.837,0.58,0,3,1859,0
22.11,17,21.31,0.933,0.87,0,4,2372,0
88.33,10,61.44,0.705,0.811,0,3,2058,0
27.87,14,4.73,0.91,0.015,1,3,336,0
102.97,22,22.8,0.08,0.329,0,9,1586,0
189.17,15,92.64,0.036,0.068,0,5,961,0
32.89,20,54.77,0.101,0.166,0,1,218,0
13.34,13,7.08,0.531,0.566,0,3,747,1
151.71,7,30.98,0.583,0.232,0,8,1075,0
108.61,9,50.94,0.158,0.442,0,10,1255,0
31.59,9,10.0,0.385,0.483,0,10,1500,0
17.16,21,67.79,0.974,0.911,0,5,972,0
20.23,19,12.98,0.756,0.767,0,3,2603,0
44.41,14,1.53,0.365,0.131,0,6,1731,1
11.42,11,34.06,0.913,0.83,0,8,1238,0
28.06,2,6.83,0.967,0.86,0,7,2312,1
40.36,21,62.21,0.262,0.381,0,6,473,0
32.81,17,17.89,0.61,0.648,0,8,2901,0
31.33,1,16.33,0.493,0.097,0,3,1621,0
96.34,17,24.45,0.742,0.155,0,2,2034,0
89.02,22,20.83,0.443,0.951,0,2,2838,0
190.41,1,22.85,0.19,0.122,0,8,405,0
61.13,0,2.34,0.334,0.989,0,4,311,0
44.31,7,17.92,0.148,0.901,1,3,562,0
59.68,0,6.36,0.358,0.788,0,1,743,0
14.3,3,61.61,0.476,0.778,0,2,1881,0
38.77,0,2.82,0.479,0.402,0,8,2947,0
43.34,8,44.06,0.585,0.712,0,10,2203,1
37.12,22,5.47,0.655,0.878,0,4,1791,0
20.11,14,22.89,0.73,0.313,0,5,1563,0
61.45,2,80.21,0.093,0.097,0,3,2308,1
167.19,21,5.87,0.354,0.665,0,1,1208,0
21.92,6,7.56,0.482,0.847,0,9,1535,1
24.11,13,83.94,0.975,0.818,0,9,137,0
77.54,0,8.95,0.703,0.309,0,1,773,0
43.01,4,60.79,0.972,0.092,0,7,1749,1
17.71,10,67.49,0.568,0.085,1,3,2560,1
12.24,13,29.92,0.442,0.273,0,2,1443,0
13.69,15,33.68,0.308,0.221,0,1,61,0
62.94,3,0.35,0.747,0.176,0,4,2079,0
53.49,12,89.05,0.042,0.019,0,6,2388,0
24.85,9,5.51,0.021,0.325,0,10,1914,0
71.08,18,23.02,0.079,0.871,0,4,1394,0
6.79,16,32.1,0.906,0.349,0,3,997,1
23.79,4,64.26,0.656,0.177,0,8,1930,0
72.79,18,46.35,0.987,0.323,0,6,648,1
32.36,8,40.28,0.352,0.074,0,1,263,0
15.28,2,42.95,0.507,0.463,0,1,1872,0
41.63,19,29.05,0.151,0.062,1,6,2955,1
45.68,22,25.91,0.439,0.523,1,6,1188,0
127.28,1,70.06,0.647,0.066,1,7,1193,1
43.65,2,39.33,0.141,0.35,0,7,558,0
92.3,12,46.41,0.328,0.128,0,9,412,0
30.72,11,16.62,0.951,0.342,0,4,957,0
17.91,3,31.89,0.54,0.739,0,6,2561,1
29.53,22,66.35,0.809,0.166,0,7,1522,0
18.38,9,62.82,0.784,0.234,0,8,824,1
33.86,12,31.45,0.419,0.162,0,10,596,0
10.41,11,36.39,0.103,0.846,0,5,373,0
14.67,7,76.35,0.885,0.93,0,7,2086,0
30.55,7,1.29,0.931,0.839,0,3,593,1
116.02,4,64.0,0.469,0.615,0,1,1078,0
48.2,9,12.21,0.122,0.238,0,10,1902,1
97.67,17,0.75,0.515,0.242,1,7,36,0
19.14,21,49.65,0.523,0.361,0,9,2108,0
37.02,15,2.0,0.387,0.373,0,6,306,0
91.26,18,59.79,0.333,0.044,0,3,2834,0
79.33,4,2.93,0.776,0.458,0,1,847,0
24.79,12,203.45,0.543,0.253,0,4,1201,1
27.66,11,25.85,0.4,0.44,0,6,795,0
34.89,16,13.96,0.083,0.424,0,3,2264,0
15.45,9,16.47,0.603,0.426,0,6,1861,1
84.22,13,14.44,0.98,0.948,1,7,1518,0
56.48,0,6.93,0.608,0.781,1,2,996,0
26.69,18,1.48,0.153,0.45,0,8,344,0
39.31,20,14.7,0.961,0.026,0,9,1615,0
53.45,19,15.13,0.916,0.491,1,2,1881,1
72.17,9,99.88,0.851,0.712,0,3,1510,0
18.34,4,12.16,0.494,0.361,0,8,2289,1
21.66,15,33.57,0.769,0.823,1,6,2661,1
33.01,4,94.65,0.78,0.64,0,3,1802,0
38.01,5,17.53,0.709,0.346,0,5,353,1
56.74,4,44.14,0.614,0.093,0,10,2408,1
83.81,19,18.54,0.924,0.041,0,2,216,0
62.64,6,65.54,0.417,0.639,0,9,1216,0
24.97,21,23.45,0.454,0.689,1,7,2013,0
27.88,22,17.31,0.988,0.345,0,6,2139,0
22.32,8,26.87,0.141,0.051,0,10,1742,1
68.99,10,122.15,0.721,0.19,1,9,1942,1
136.02,7,10.9,0.353,0.051,0,8,1200,0
89.09,8,58.51,0.764,0.366,0,10,2331,1
39.8,16,26.93,0.55,0.825,0,10,516,1
14.32,10,36.72,0.366,0.144,0,7,2078,1
92.03,4,41.94,0.516,0.328,0,3,1639,0
60.22,10,31.85,0.51,0.49,0,8,98,0
66.72,23,92.54,0.629,0.597,0,10,2395,1
10.39,16,44.62,0.62,0.841,1,4,159,0
52.53,14,16.94,0.151,0.691,0,10,1961,0
52.81,4,32.91,0.561,0.998,0,7,1315,0
32.27,17,19.68,0.772,0.721,0,5,2528,0
92.29,9,11.46,0.973,0.298,0,4,2857,0
24.3,23,14.38,0.122,0.677,0,7,1443,0
68.44,9,139.86,0.079,0.924,0,8,906,0
84.77,22,14.26,0.109,0.741,0,1,2773,0
21.73,3,24.0,0.717,0.101,0,1,2284,0
8.7,15,29.21,0.199,0.964,0,1,396,0
8.21,1,110.0,0.175,0.882,0,1,1656,0
5.92,9,94.21,0.009,0.568,1,6,1195,0
56.44,4,85.69,0.468,0.193,1,3,1909,0
26.13,21,63.71,0.175,0.856,0,7,2140,0
31.19,4,29.21,0.936,0.007,0,8,1123,0
12.91,0,13.64,0.36,0.236,0,8,1286,1
78.89,9,20.62,0.221,0.957,0,8,2511,0
243.53,6,64.57,0.68,0.596,0,9,1859,0
3.2,3,2.87,0.548,0.505,0,3,703,0
37.85,6,56.79,0.489,0.899,0,1,1887,0
27.58,17,27.93,0.807,0.723,0,1,922,0
13.31,2,35.06,0.06,0.894,0,8,159,0
21.33,20,172.44,0.646,0.42,0,7,1867,0
94.63,21,149.77,0.875,0.133,0,2,761,0
30.61,7,81.03,0.756,0.978,0,9,1767,0
68.49,11,7.59,0.188,0.875,0,1,2734,0
59.18,1,12.63,0.044,0.439,0,1,603,0
6.9,23,38.62,0.577,0.773,0,4,1266,0
30.76,17,133.5,0.88,0.912,0,7,2306,0
117.5,10,53.63,0.408,0.3,0,9,1969,1
13.93,1,37.19,0.968,0.557,1,4,1074,1
54.85,8,21.31,0.605,0.04,1,10,2996,0
21.72,10,16.26,0.909,0.212,0,2,1991,0
95.87,12,111.0,0.552,0.776,0,9,2687,0
17.93,15,28.23,0.803,0.722,0,6,862,0
27.47,7,60.84,0.016,0.553,0,7,1239,1
24.53,7,31.13,0.655,0.685,0,8,2993,0
36.0,11,8.35,0.72,0.488,0,9,2658,0
45.47,2,130.67,0.668,0.764,0,4,308,0
22.56,21,122.25,0.913,0.659,1,9,2289,1
39.37,16,75.49,0.674,0.806,0,2,424,0
13.55,8,75.99,0.267,0.397,0,7,1910,0
213.59,20,215.48,0.65,0.032,0,7,2293,1
71.6,2,31.18,0.434,0.784,0,2,2193,0
69.91,8,2.15,0.074,0.926,0,10,2725,1
91.11,6,39.8,0.752,0.713,0,2,1255,0
7.67,10,21.79,0.74,0.79,0,2,2081,0
28.53,7,82.09,0.341,0.769,0,7,1366,1
35.83,12,25.44,0.68,0.661,1,10,1239,0
51.34,4,21.51,0.784,0.154,0,6,466,1
117.13,8,4.85,0.087,0.431,0,9,1701,1
9.56,19,41.01,0.324,0.385,0,7,376,0
16.72,21,21.56,0.139,0.301,0,2,714,0
29.28,2,20.16,0.944,0.721,0,10,830,1
14.01,12,73.35,0.33,0.335,0,10,587,1
59.97,15,16.97,0.965,0.969,0,8,2388,0
